PLAYER_NAME,PLAYER_ID,SEASON,TEAM,STEPH_PCT,rSTEPH,STEPH_ABS,TM_TS_ON,TM_TS_OFF,OWN_TS,LEAGUE_AVG_TS,TOE,P_SHOT_WEIGHT,TM_SHOT_WEIGHT,CI_LO,CI_HI,P_VALUE,SIG,MIN,GP,PPG,APG,N_CORE_TM,N_ON,N_OFF
Aaron Brooks,201166,2007-08,HOU,2.201,2.294,1.177,54.64,53.47,53.54,51.31,2.264,0.443,0.557,,,,,608.11,51.0,5.18,1.71,8.0,10.0,48.0
Aaron Brooks,201166,2008-09,HOU,4.541,4.767,2.483,57.16,54.68,52.06,52.09,2.655,0.439,0.561,,,,,1998.17,80.0,11.18,2.98,11.0,32.0,39.0
Aaron Brooks,201166,2009-10,HOU,3.624,3.644,1.913,54.69,52.78,54.85,52.49,3.001,0.501,0.499,-2.742,11.684,0.0,***,2919.423333333333,82.0,19.56,5.29,9.0,42.0,19.0
Aaron Brooks,201166,2010-11,PHX,4.507,4.908,2.538,58.86,56.32,48.87,51.72,0.722,0.456,0.544,,,,,1284.1316666666667,59.0,10.75,3.95,9.0,10.0,58.0
Aaron Brooks,201166,2011-12,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2012-13,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2013-14,DEN,-1.053,-1.12,-0.574,53.98,54.55,51.78,51.27,-0.728,0.434,0.566,,,,,1557.2716666666668,72.0,8.96,3.24,10.0,20.0,53.0
Aaron Brooks,201166,2014-15,CHI,3.33,3.462,1.773,55.0,53.23,53.38,51.2,2.847,0.479,0.521,-3.374,11.436,0.0,***,1884.6133333333332,82.0,11.63,3.18,8.0,42.0,37.0
Aaron Brooks,201166,2015-16,CHI,0.136,0.136,0.072,52.68,52.61,49.38,52.57,-2.111,0.457,0.543,,,,,1107.71,69.0,7.12,2.61,11.0,26.0,48.0
Aaron Brooks,201166,2016-17,IND,-4.903,-5.381,-2.836,55.0,57.84,50.69,52.7,-6.067,0.396,0.604,,,,,893.7316666666667,65.0,4.95,1.92,11.0,21.0,35.0
Aaron Brooks,201166,2017-18,MIN,-2.576,-2.758,-1.467,55.49,56.96,50.79,53.19,-3.919,0.416,0.584,,,,,189.41333333333333,32.0,2.34,0.62,3.0,5.0,40.0
Aaron Brooks,201166,2018-19,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2019-20,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2020-21,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2021-22,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2022-23,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2023-24,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2024-25,,,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,201166,2025-26,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2007-08,MIN,-5.071,-5.421,-2.782,52.07,54.85,53.46,51.31,-2.665,0.532,0.468,-12.925,3.28,0.0,***,2918.7683333333334,82.0,21.05,1.43,10.0,63.0,26.0
Al Jefferson,2744,2008-09,MIN,-1.644,-1.709,-0.89,53.26,54.15,53.23,52.09,-0.556,0.542,0.458,-9.269,5.904,0.0,***,1835.7866666666666,50.0,23.12,1.58,8.0,31.0,42.0
Al Jefferson,2744,2009-10,MIN,-3.473,-3.573,-1.875,52.12,53.99,52.37,52.49,-2.75,0.503,0.497,-9.546,2.72,0.0,***,2463.16,76.0,17.12,1.8,10.0,36.0,28.0
Al Jefferson,2744,2010-11,UTA,1.407,1.507,0.779,56.17,55.39,52.83,51.72,1.316,0.481,0.519,-6.246,10.836,0.0,***,2940.4133333333334,82.0,18.63,1.82,9.0,47.0,23.0
Al Jefferson,2744,2011-12,UTA,14.547,13.943,6.974,54.92,47.94,51.96,50.02,7.861,0.507,0.493,8.75,22.591,0.0,***,2074.96,61.0,19.18,2.2,10.0,36.0,25.0
Al Jefferson,2744,2012-13,UTA,2.549,2.653,1.343,54.05,52.71,52.24,50.64,2.123,0.5,0.5,-5.211,10.022,0.0,***,2578.1283333333336,78.0,17.83,2.1,9.0,36.0,36.0
Al Jefferson,2744,2013-14,CHA,3.768,3.768,1.932,53.2,51.27,53.21,51.27,2.781,0.54,0.46,-3.784,10.176,0.0,***,2553.2383333333332,73.0,21.84,2.12,10.0,41.0,31.0
Al Jefferson,2744,2014-15,CHA,2.766,2.705,1.385,51.45,50.07,49.97,51.2,0.368,0.514,0.486,-3.937,10.014,0.0,***,1991.7733333333333,65.0,16.65,1.74,8.0,31.0,42.0
Al Jefferson,2744,2015-16,CHA,-1.328,-1.414,-0.744,55.26,56.0,50.74,52.57,-2.423,0.481,0.519,,,,,1096.4383333333333,47.0,11.96,1.49,10.0,21.0,46.0
Al Jefferson,2744,2016-17,IND,-8.57,-9.477,-4.994,53.28,58.27,52.62,52.7,-6.901,0.519,0.481,,,,,930.635,66.0,8.11,0.86,10.0,23.0,33.0
Al Jefferson,2744,2017-18,IND,-2.692,-2.876,-1.53,55.3,56.83,56.29,53.19,-0.72,0.485,0.515,,,,,483.56,36.0,7.0,0.83,8.0,12.0,44.0
Al Jefferson,2744,2018-19,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2019-20,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2020-21,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2021-22,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2022-23,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2023-24,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2024-25,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2744,2025-26,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2007-08,PHX,5.064,5.617,2.882,59.8,56.91,65.64,51.31,10.446,0.554,0.446,-1.22,11.696,0.0,***,2676.7916666666665,79.0,25.18,1.49,9.0,34.0,28.0
Amar'e Stoudemire,2405,2008-09,PHX,0.783,0.887,0.462,59.46,58.99,61.68,52.09,5.194,0.495,0.505,,,,,1947.8833333333334,53.0,21.4,1.96,11.0,37.0,35.0
Amar'e Stoudemire,2405,2009-10,PHX,-1.502,-1.696,-0.89,58.4,59.29,61.48,52.49,3.608,0.534,0.466,-7.779,3.271,0.0,***,2837.5616666666665,82.0,23.12,1.0,9.0,32.0,20.0
Amar'e Stoudemire,2405,2010-11,NYK,6.603,6.896,3.566,57.58,54.01,56.49,51.72,5.737,0.544,0.456,-0.453,13.094,0.0,***,2870.0116666666668,78.0,25.27,2.59,12.0,50.0,28.0
Amar'e Stoudemire,2405,2011-12,NYK,-7.102,-7.943,-3.973,51.97,55.95,54.08,50.02,-3.825,0.506,0.494,-13.867,-0.11,0.0,***,1543.22,47.0,17.51,1.11,7.0,31.0,41.0
Amar'e Stoudemire,2405,2012-13,NYK,-2.311,-2.567,-1.3,54.94,56.24,63.7,50.64,5.013,0.524,0.476,,,,,681.9416666666667,29.0,14.24,0.45,7.0,16.0,53.0
Amar'e Stoudemire,2405,2013-14,NYK,-1.365,-1.421,-0.728,52.63,53.36,59.63,51.27,3.117,0.5,0.5,,,,,1466.185,65.0,11.88,0.52,11.0,31.0,44.0
Amar'e Stoudemire,2405,2014-15,DAL,3.298,3.608,1.847,57.86,56.01,59.46,51.2,5.865,0.486,0.514,,,,,1244.375,59.0,11.53,0.76,6.0,8.0,64.0
Amar'e Stoudemire,2405,2015-16,MIA,0.514,0.536,0.282,55.06,54.78,59.89,52.57,3.362,0.417,0.583,,,,,762.3016666666666,52.0,5.77,0.52,10.0,14.0,54.0
Amar'e Stoudemire,2405,2016-17,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2017-18,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2018-19,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2019-20,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2020-21,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2021-22,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2022-23,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2023-24,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2024-25,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,2405,2025-26,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2007-08,TOR,4.204,4.554,2.337,57.91,55.58,49.54,51.31,1.5,0.424,0.576,,,,,1861.1183333333333,78.0,10.15,1.14,10.0,29.0,41.0
Andrea Bargnani,200745,2008-09,TOR,0.67,0.699,0.364,54.7,54.34,55.9,52.09,2.173,0.472,0.528,,,,,2453.3566666666666,78.0,15.41,1.21,10.0,45.0,24.0
Andrea Bargnani,200745,2009-10,TOR,-0.463,-0.508,-0.266,57.24,57.5,55.22,52.49,0.851,0.462,0.538,-6.425,6.492,0.2353,,2799.285,80.0,17.2,1.16,9.0,47.0,22.0
Andrea Bargnani,200745,2010-11,TOR,3.878,3.96,2.048,54.87,52.82,53.28,51.72,2.705,0.523,0.477,-2.21,10.561,0.0,***,2353.048333333333,66.0,21.42,1.8,12.0,42.0,32.0
Andrea Bargnani,200745,2011-12,TOR,7.661,7.68,3.842,53.99,50.15,53.83,50.02,5.666,0.52,0.48,,,,,1031.6916666666666,31.0,19.45,1.97,11.0,22.0,58.0
Andrea Bargnani,200745,2012-13,TOR,1.121,1.21,0.613,55.29,54.68,48.16,50.64,-0.978,0.444,0.556,,,,,1002.5066666666667,35.0,12.66,1.09,11.0,22.0,54.0
Andrea Bargnani,200745,2013-14,NYK,-8.867,-9.557,-4.9,50.36,55.26,51.02,51.27,-7.796,0.468,0.532,,,,,1257.12,42.0,13.29,1.07,11.0,25.0,50.0
Andrea Bargnani,200745,2014-15,NYK,-14.061,-14.571,-7.461,45.6,53.06,52.69,51.2,-9.122,0.546,0.454,,,,,785.3416666666667,29.0,14.83,1.59,5.0,7.0,38.0
Andrea Bargnani,200745,2015-16,BKN,-2.066,-2.13,-1.12,53.07,54.19,49.99,52.57,-3.516,0.475,0.525,,,,,633.66,46.0,6.61,0.39,7.0,14.0,52.0
Andrea Bargnani,200745,2016-17,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2017-18,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2018-19,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2019-20,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2020-21,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2021-22,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2022-23,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2023-24,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2024-25,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,200745,2025-26,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2007-08,CHI,3.293,3.329,1.708,53.58,51.87,54.88,51.31,3.45,0.499,0.501,-2.89,10.041,0.0,***,2020.6216666666667,82.0,13.17,1.16,10.0,50.0,37.0
Andres Nocioni,2804,2008-09,SAC,6.442,6.743,3.512,58.03,54.52,55.47,52.09,5.303,0.429,0.571,,,,,1991.6166666666666,76.0,11.41,1.34,7.0,15.0,62.0
Andres Nocioni,2804,2009-10,SAC,8.107,7.939,4.167,55.57,51.41,50.35,52.49,3.078,0.436,0.564,,,,,1477.28,75.0,8.47,1.0,9.0,26.0,49.0
Andres Nocioni,2804,2010-11,PHI,0.211,0.222,0.115,54.32,54.21,53.81,51.72,0.956,0.393,0.607,,,,,930.8183333333334,54.0,6.06,0.83,9.0,19.0,47.0
Andres Nocioni,2804,2011-12,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2012-13,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2013-14,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2014-15,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2015-16,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2016-17,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2017-18,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2018-19,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2019-20,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2020-21,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2021-22,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2022-23,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2023-24,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2024-25,,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,2804,2025-26,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2007-08,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2008-09,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2009-10,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2010-11,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2011-12,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2012-13,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2013-14,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,203952,2014-15,MIN,-3.817,-4.051,-2.074,52.26,54.34,51.68,51.2,-2.985,0.472,0.528,,,,,2968.7966666666666,82.0,16.91,2.07,17.0,59.0,13.0
Andrew Wiggins,203952,2015-16,MIN,3.629,3.739,1.965,56.12,54.16,54.29,52.57,2.707,0.512,0.488,-6.996,11.601,0.0,***,2844.59,81.0,20.68,2.02,9.0,41.0,23.0
Andrew Wiggins,203952,2016-17,MIN,8.837,8.97,4.727,58.21,53.49,53.44,52.7,4.682,0.521,0.479,3.673,14.974,0.0,***,3048.3683333333333,82.0,23.57,2.3,9.0,34.0,17.0
Andrew Wiggins,203952,2017-18,MIN,-1.169,-1.295,-0.689,58.21,58.9,50.48,53.19,-2.912,0.456,0.544,-7.307,4.179,0.0,***,2978.7033333333334,82.0,17.71,1.95,8.0,24.0,21.0
Andrew Wiggins,203952,2018-19,MIN,8.017,8.13,4.348,58.59,54.24,49.32,53.48,1.375,0.47,0.53,1.494,14.417,0.0,***,2542.713333333333,73.0,18.1,2.52,11.0,37.0,28.0
Andrew Wiggins,203952,2019-20,GSW,3.597,3.73,2.014,57.99,55.98,53.61,53.99,1.484,0.522,0.478,-20.16,19.183,0.0,***,1858.8816666666667,54.0,21.76,3.67,2.0,8.0,36.0
Andrew Wiggins,203952,2020-21,GSW,-2.036,-2.239,-1.221,58.73,59.95,56.76,54.52,-0.628,0.487,0.513,-9.604,7.884,0.0,***,2364.27,71.0,18.59,2.35,12.0,42.0,27.0
Andrew Wiggins,203952,2021-22,GSW,-1.303,-1.473,-0.782,59.23,60.02,55.95,53.08,0.211,0.477,0.523,-8.161,5.784,0.0,***,2329.5133333333333,73.0,17.21,2.21,9.0,43.0,25.0
Andrew Wiggins,203952,2022-23,GSW,6.336,6.733,3.788,63.58,59.79,56.45,56.27,3.749,0.455,0.545,,,,,1190.28,37.0,17.11,2.3,8.0,16.0,51.0
Andrew Wiggins,203952,2023-24,GSW,2.526,2.749,1.509,61.26,59.75,54.39,54.89,1.196,0.444,0.556,,,,,1920.4483333333333,71.0,13.23,1.68,11.0,40.0,37.0
Andrew Wiggins,203952,2024-25,MIA,6.496,6.973,3.824,62.7,58.87,56.61,54.84,4.461,0.483,0.517,-3.223,14.844,0.0,***,1842.2816666666668,60.0,17.97,2.63,4.0,11.0,71.0
Andrew Wiggins,203952,2025-26,MIA,-0.967,-1.026,-0.579,59.28,59.86,58.56,56.42,0.153,0.461,0.539,,,,,2062.5983333333334,68.0,15.37,2.68,11.0,29.0,46.0
Antawn Jamison,1712,2007-08,WAS,1.503,1.57,0.806,54.4,53.6,52.46,51.31,1.36,0.504,0.496,-6.146,8.864,0.0,***,3060.7766666666666,79.0,21.38,1.52,10.0,49.0,16.0
Antawn Jamison,1712,2008-09,WAS,-3.571,-3.71,-1.932,52.18,54.11,54.91,52.09,-1.141,0.527,0.473,-9.787,3.116,0.0,***,3095.71,81.0,22.23,1.89,11.0,63.0,18.0
Antawn Jamison,1712,2009-10,CLE,3.13,3.448,1.81,59.64,57.83,52.87,52.49,2.028,0.463,0.537,-5.801,9.73,0.0,***,2405.8033333333333,66.0,18.71,1.27,5.0,11.0,58.0
Antawn Jamison,1712,2010-11,CLE,1.808,1.79,0.926,52.11,51.18,51.59,51.72,0.769,0.513,0.487,-6.364,10.46,0.0,***,1842.1966666666667,56.0,18.04,1.66,10.0,40.0,32.0
Antawn Jamison,1712,2011-12,CLE,7.887,7.804,3.904,53.4,49.49,48.06,50.02,2.5,0.493,0.507,-1.014,15.347,0.0,***,2150.99,65.0,17.2,2.02,12.0,54.0,21.0
Antawn Jamison,1712,2012-13,LAL,1.31,1.433,0.726,56.1,55.37,56.08,50.64,3.181,0.437,0.563,,,,,1635.5916666666667,76.0,9.37,0.66,9.0,36.0,34.0
Antawn Jamison,1712,2013-14,LAC,-0.512,-0.578,-0.296,57.55,57.84,40.78,51.27,-6.383,0.371,0.629,,,,,247.55666666666667,22.0,3.82,0.32,4.0,3.0,47.0
Antawn Jamison,1712,2014-15,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2015-16,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2016-17,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2017-18,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2018-19,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2019-20,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2020-21,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2021-22,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2022-23,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2023-24,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2024-25,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,1712,2025-26,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,203076,2007-08,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,203076,2008-09,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,203076,2009-10,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,203076,2010-11,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,203076,2011-12,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,203076,2012-13,NOH,1.926,1.995,1.01,53.46,52.45,55.94,50.64,3.537,0.468,0.532,,,,,1845.9516666666666,64.0,13.55,0.98,10.0,28.0,35.0
Anthony Davis,203076,2013-14,NOP,-4.07,-4.272,-2.19,51.63,53.82,58.15,51.27,0.687,0.534,0.466,-10.543,3.716,0.0,***,2357.7716666666665,67.0,20.81,1.57,11.0,42.0,27.0
Anthony Davis,203076,2014-15,NOP,5.516,5.562,2.848,54.47,51.63,59.07,51.2,6.835,0.553,0.447,-1.261,12.873,0.0,***,2454.695,68.0,24.35,2.19,10.0,36.0,24.0
Anthony Davis,203076,2015-16,NOP,-1.117,-1.153,-0.606,53.68,54.29,55.88,52.57,1.095,0.56,0.44,-9.142,7.823,0.0,***,2164.26,61.0,24.28,1.9,11.0,40.0,33.0
Anthony Davis,203076,2016-17,NOP,-0.525,-0.544,-0.287,54.3,54.59,57.96,52.7,2.76,0.588,0.412,-9.173,8.594,0.9396,,2707.661666666667,75.0,27.99,2.09,10.0,51.0,14.0
Anthony Davis,203076,2017-18,NOP,-2.027,-2.175,-1.157,55.93,57.09,61.16,53.19,3.251,0.58,0.42,-8.816,5.842,0.0,***,2727.2366666666667,75.0,28.13,2.32,10.0,41.0,24.0
Anthony Davis,203076,2018-19,NOP,1.103,1.161,0.621,56.94,56.32,59.68,53.48,4.08,0.58,0.42,-6.242,8.24,0.0,***,1849.8833333333334,56.0,25.93,3.89,10.0,31.0,35.0
